trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.75, 'e': 0.36972963764972644}",25,0,-53.635487265671316,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.75, 'e': 0.3660323412732292}",30,0,-35.265480606557944,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.75, 'e': 0.3623720178604969}",25,0,24.81740740930839,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.75, 'e': 0.3587482976818919}",35,21,28.207239194855067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.75, 'e': 0.355160814705073}",25,15,-5.653189421141664,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.35160920655802225}",25,0,-12.67493460731146,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.75, 'e': 0.348093114492442}",20,8,-38.1109419110763,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,17,25.10092822415847,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,20,19.728476060082375,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,23.5946340806238,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,32.94965331584071,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,21.78051926227517,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,13.465573352085949,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,14,21.91897576871284,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,16.365216831296205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,41.876365349111836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,36.68162252233706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
