trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.96512459310644,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.96147851395371,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.379272592774264,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,4,-27.91030981484397,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.5186937868467,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-52.24950650697133,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,4,-30.56235914033431,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.67021872987723,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.80670112359186,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.59103171626487,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.53821492935154,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.37713570835659,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.02449265857172,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,10,-35.09710497811862,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.53435651765278,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.83715710341164,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.90621088242972,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.16934546475002,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.54385609480963,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.66010433065074,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-119.57101491641264,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-121.7240933858416,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,15,-13.297611805660779,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,0,-120.63897739361657,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-105.47330454170326,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,10,-101.41275297179783,"{0: 5, 1: 6, 2: 2, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,0,-204.28204424174137,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",30,3,-116.71603612556954,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 3}",1
9,True,"{'a': 0, 'e': 0}",20,0,-32.17882676902112,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-196.7052910859483,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
